,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
213556,2018164020,ted.europa.eu/udl?uri=TED:NOTICE:164020-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Dos Hermanas,Dos Hermanas,41701,3,General public\services,U,18400000.0,254522.6,,ES618
213885,2018164071,ted.europa.eu/udl?uri=TED:NOTICE:164071-2018:TEXT:EN:HTML,Ayuntamiento de Iruña de Oca,Iruña de Oca,01230,3,General public\services,U,45316100.0,921782.0,,ES211
213970,2018164081,ted.europa.eu/udl?uri=TED:NOTICE:164081-2018:TEXT:EN:HTML,Gerencia de MAZ Mútua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social nº 11,Zaragoza,50001,8,Health,U,33172100.0,280000.0,,ES243
214286,2018164117,ted.europa.eu/udl?uri=TED:NOTICE:164117-2018:TEXT:EN:HTML,Dirección de la Sociedad de Salvamento y Seguridad Marítima,Madrid,28011,6,General public\services,U,32000000.0,1200000.0,,ES300
215075,2018164564,ted.europa.eu/udl?uri=TED:NOTICE:164564-2018:TEXT:EN:HTML,Ayuntamiento de Pinto,Pinto,28320,3,General public\services,S,66510000.0,1372000.0,11.97,ES300
215983,2018164959,ted.europa.eu/udl?uri=TED:NOTICE:164959-2018:TEXT:EN:HTML,"Dirección de Compras de la Corporación de Radio y Televisión Española, S. A.",Pozuelo de Alarcón,28223,8,Economical anf Financial Affairs,S,72414000.0,720000.0,,ES300
216022,2018165390,ted.europa.eu/udl?uri=TED:NOTICE:165390-2018:TEXT:EN:HTML,Junta de Gobierno del Patronato Municipal de Deportes de Palencia,Palencia,34001,3,"Recreation, culture and religion",S,92000000.0,480000.0,11.97,ES414
216233,2018165429,ted.europa.eu/udl?uri=TED:NOTICE:165429-2018:TEXT:EN:HTML,"Dirección de Compras de la Corporación de Radio y Televisión Española, S. A.",Pozuelo de Alarcón,28223,8,Economical anf Financial Affairs,S,92220000.0,1614100.0,,ES300
216542,2018165620,ted.europa.eu/udl?uri=TED:NOTICE:165620-2018:TEXT:EN:HTML,Entidad Pública Empresarial Renfe Operadora — Dirección General Económico-Financiera — Dirección de Compras y Patrimonio,Madrid,28036,4,Railway services,S,72261000.0,986000.0,,ES300
216937,2018165874,ted.europa.eu/udl?uri=TED:NOTICE:165874-2018:TEXT:EN:HTML,Ayuntamiento de Torremolinos,Torremolinos,29620,3,General public\services,S,64210000.0,,24.0,
216938,2018165875,ted.europa.eu/udl?uri=TED:NOTICE:165875-2018:TEXT:EN:HTML,Ayuntamiento de Sopela,Sopela,48600,3,General public\services,S,77311000.0,1261157.02,24.0,ES213
216990,2018165986,ted.europa.eu/udl?uri=TED:NOTICE:165986-2018:TEXT:EN:HTML,Transports de Barcelona S. A. y Ferrocarril Metropolità de Barcelona S. A.,Barcelona,08040,4,"Urban railway, tramway, trolleybus or bus services",S,66515000.0,,52.0,
217603,2018168714,ted.europa.eu/udl?uri=TED:NOTICE:168714-2018:TEXT:EN:HTML,Rectorado de la Universidad de Salamanca,Salamanca,37008,8,Education,U,38433000.0,235130.0,,ES415
219109,2018168985,ted.europa.eu/udl?uri=TED:NOTICE:168985-2018:TEXT:EN:HTML,Consorcio de Aguas Bilbao Bizkaia — Consorcio de Aguas Bilbao Bizkaia,Bilbao,48001,3,General public\services,U,45255400.0,1063890.0,,ES213
219193,2018169341,ted.europa.eu/udl?uri=TED:NOTICE:169341-2018:TEXT:EN:HTML,"Dirección Gerencia de Unión de Mutuas, Mutua Colaboradora con la Seguridad Social nº 267",Castellón,12004,8,General public\services,S,66511000.0,800000.0,,ES522
219314,2018169373,ted.europa.eu/udl?uri=TED:NOTICE:169373-2018:TEXT:EN:HTML,Consorci de l&apos;Auditori i l&apos;Orquestra,Barcelona,08013,6,"Recreation, culture and religion",S,79340000.0,1086300.0,,ES511
219316,2018169375,ted.europa.eu/udl?uri=TED:NOTICE:169375-2018:TEXT:EN:HTML,Patronato del Real Alcazar y de la Casa Consistorial,Sevilla,41004,R,General public\services,S,90911200.0,930800.0,,ES618
219994,2018169629,ted.europa.eu/udl?uri=TED:NOTICE:169629-2018:TEXT:EN:HTML,"Consejero Delegado de Ingeniería de Sistemas para la Defensa de España S. A., S. M. E. y M. P.",Madrid,28040,8,Defence,S,71200000.0,355000.0,,ES300
220022,2018169643,ted.europa.eu/udl?uri=TED:NOTICE:169643-2018:TEXT:EN:HTML,Agencia Navarra de Autonomía y Desarrollo de las Personas,Pamplona,31005,6,Social protection,S,85312000.0,14910647.04,18.03,ES220
220180,2018170240,ted.europa.eu/udl?uri=TED:NOTICE:170240-2018:TEXT:EN:HTML,"Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l&apos;Aigua, S. A.",Barcelona,08028,4,Water,U,9310000.0,10458737.0,,ES511
220323,2018170335,ted.europa.eu/udl?uri=TED:NOTICE:170335-2018:TEXT:EN:HTML,Enaire,Madrid,28022,4,Airport-related activities,S,71317210.0,,,ES300
220367,2018170351,ted.europa.eu/udl?uri=TED:NOTICE:170351-2018:TEXT:EN:HTML,"Renfe Viajeros Sociedad Mercantil Estatal, S. A - Gerencia de Área de Control de Gestión y Compras",Madrid,28007,4,Railway services,S,50340000.0,3908005.94,,ES300
220401,2018170441,ted.europa.eu/udl?uri=TED:NOTICE:170441-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S. A.",Barcelona,08015,8,"General public\services,Other",U,30200000.0,1400000.0,12.0,ES511
220446,2018170513,ted.europa.eu/udl?uri=TED:NOTICE:170513-2018:TEXT:EN:HTML,"Laboratori de Referència de Catalunya, S. A.",El Prat de Llobregat,,Z,Health,S,64210000.0,615319.92,,
220456,2018170523,ted.europa.eu/udl?uri=TED:NOTICE:170523-2018:TEXT:EN:HTML,Excelentísimo Ayuntamiento de Motril,Motril,18600,3,Environment,S,72000000.0,869440.13,,ES614
220459,2018170526,ted.europa.eu/udl?uri=TED:NOTICE:170526-2018:TEXT:EN:HTML,"Corporació Calatalana de Mitjans Audiovisuals, S. A.",Barcelona,08017,6,Other,S,50700000.0,2800000.0,48.0,ES511
220557,2018170682,ted.europa.eu/udl?uri=TED:NOTICE:170682-2018:TEXT:EN:HTML,European Union Satellite Centre (SatCen),Torrejón de Ardoz,28850,5,Defence,U,71354100.0,5000000.0,,ES3
221045,2018171048,ted.europa.eu/udl?uri=TED:NOTICE:171048-2018:TEXT:EN:HTML,Ayuntamiento del Prat de Llobregat,El Prat de Llobregat,08820,3,General public\services,U,9310000.0,2970522.79,,ES
224781,2018171950,ted.europa.eu/udl?uri=TED:NOTICE:171950-2018:TEXT:EN:HTML,Consell Comarcal del Vallès Oriental,Granollers,08401,3,General public\services,S,60100000.0,12814860.96,,ES511
224869,2018171997,ted.europa.eu/udl?uri=TED:NOTICE:171997-2018:TEXT:EN:HTML,"Delegada de la Empresa Provincial de Informática de Cádiz, S. A. (EPICSA)",Cádiz,11010,3,General public\services,S,79341000.0,661157.03,,ES612
224909,2018172013,ted.europa.eu/udl?uri=TED:NOTICE:172013-2018:TEXT:EN:HTML,Consorci del Museu de Ciències Naturals de Barcelona,Barcelona,08019,6,"Recreation, culture and religion",S,92500000.0,1879195.42,24.01,ES511
224926,2018172024,ted.europa.eu/udl?uri=TED:NOTICE:172024-2018:TEXT:EN:HTML,Autoritat del Transport Metropolità,Barcelona,08021,R,Other,S,72222300.0,2800000.0,56.32,ES511
224942,2018172034,ted.europa.eu/udl?uri=TED:NOTICE:172034-2018:TEXT:EN:HTML,"Consejo de Administración de Servicios Comunitarios de Molina, S. A. (Sercomosa)",Molina del Segura (Murcia),30500,8,General public\services,S,79620000.0,449752.66,,ES620
225056,2018172602,ted.europa.eu/udl?uri=TED:NOTICE:172602-2018:TEXT:EN:HTML,"Entidad Pública Empresarial Renfe-Operadora, D. G. Económico-Financiera, Dirección de Compras y Patrimonio---Renfe Alquiler y Material Ferroviario Sociedad Mercantil Estatal, S. A.---Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A.---Renfe Mercancías Sociedad Mercantil Estatal, S. A.---Renfe Viajeros Sociedad Mercantil Estatal, S. A.",Madrid---Madrid---Madrid---Madrid---Madrid,28036---28036---28036,4,Railway services,S,71318000.0,905720.0,,ES300
225114,2018172805,ted.europa.eu/udl?uri=TED:NOTICE:172805-2018:TEXT:EN:HTML,"Consejería de Educación, Juventud y Deportes de la comunidad autónoma de la Región de Murcia",Murcia,30006,3,Education,U,44211100.0,661157.02,24.0,ES
225118,2018172809,ted.europa.eu/udl?uri=TED:NOTICE:172809-2018:TEXT:EN:HTML,Ayuntamiento de Torremolinos,Torremolinos,29620,3,General public\services,U,9310000.0,5971625.29,24.0,
225152,2018172913,ted.europa.eu/udl?uri=TED:NOTICE:172913-2018:TEXT:EN:HTML,Consorci d'Educació de Barcelona,Barcelona,08010,8,Education,S,63100000.0,1680000.0,20.99,ES511
225158,2018172919,ted.europa.eu/udl?uri=TED:NOTICE:172919-2018:TEXT:EN:HTML,Ayuntamiento de Jaca,Jaca,22700,3,General public\services,S,90919200.0,3267715.27,48.0,
225173,2018173000,ted.europa.eu/udl?uri=TED:NOTICE:173000-2018:TEXT:EN:HTML,"Aena, S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,79710000.0,,12.0,ES300
227056,2018173667,ted.europa.eu/udl?uri=TED:NOTICE:173667-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria, S. A., S.M.E., M.P. (Tragsa)",Madrid,28006,8,Environment,U,14210000.0,638220.0,6.68,ES300
227530,2018174267,ted.europa.eu/udl?uri=TED:NOTICE:174267-2018:TEXT:EN:HTML,Ayuntamiento de Arrasate-Mondragón,Arrasate,20500,3,General public\services,S,80500000.0,588520.0,6.48,ES212
227537,2018174271,ted.europa.eu/udl?uri=TED:NOTICE:174271-2018:TEXT:EN:HTML,Ayuntamiento de Basauri,Basauri (Bizkaia) 48970,,3,General public\services,S,79341200.0,418000.0,,ES213
227601,2018174309,ted.europa.eu/udl?uri=TED:NOTICE:174309-2018:TEXT:EN:HTML,Ajuntament de Sant Adrià de Besòs,Sant Adrià de Besòs,08930,3,General public\services,S,98514000.0,2299961.4,,ES51
227707,2018174364,ted.europa.eu/udl?uri=TED:NOTICE:174364-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,S,71200000.0,4185972.0,,ES53
230029,2018176756,ted.europa.eu/udl?uri=TED:NOTICE:176756-2018:TEXT:EN:HTML,"Sistema d&apos;Emergències Mèdiques, S. A.",L&apos;Hospitalet de Llobregat,08908,8,Health,S,85121270.0,256923.92,,ES51
230733,2018177994,ted.europa.eu/udl?uri=TED:NOTICE:177994-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,50000000.0,,12.0,
231274,2018178503,ted.europa.eu/udl?uri=TED:NOTICE:178503-2018:TEXT:EN:HTML,Consejo de Administración de la Empresa Municipal de Servicios de Medio Ambiente Urbano de Gijón (Emulsa),Gijón,33211,3,Environment,U,18110000.0,595000.0,,ES120
231279,2018178504,ted.europa.eu/udl?uri=TED:NOTICE:178504-2018:TEXT:EN:HTML,Rectorado de la Universidad de Salamanca,Salamanca,37008,8,Education,U,38500000.0,500000.0,,ES415
232068,2018179059,ted.europa.eu/udl?uri=TED:NOTICE:179059-2018:TEXT:EN:HTML,"Consejería de Presidencia, Justicia e Igualdad del Gobierno de Canarias",Santa Cruz de Tenerife,38071,3,General public\services,S,71000000.0,1449055.9,4.05,ES70
232074,2018179063,ted.europa.eu/udl?uri=TED:NOTICE:179063-2018:TEXT:EN:HTML,Ajuntament de Sant Adrià de Besòs,Sant Adrià de Besòs,08930,3,General public\services,S,98390000.0,340860.0,,ES51
232760,2018180103,ted.europa.eu/udl?uri=TED:NOTICE:180103-2018:TEXT:EN:HTML,"Comunidad Autónoma de la Región de Murcia, Consejería de Hacienda y Administraciones Públicas",Murcia,30071,3,Economical anf Financial Affairs,U,9310000.0,,,
232806,2018180194,ted.europa.eu/udl?uri=TED:NOTICE:180194-2018:TEXT:EN:HTML,Ayuntamiento de Tortosa,Tortosa,43500,3,General public\services,S,90600000.0,28082410.75,120.0,ES514
232808,2018180196,ted.europa.eu/udl?uri=TED:NOTICE:180196-2018:TEXT:EN:HTML,Ayuntamiento de Ansoáin,Ansoáin,31013,3,General public\services,S,80521000.0,559090.92,12.0,
232829,2018180279,ted.europa.eu/udl?uri=TED:NOTICE:180279-2018:TEXT:EN:HTML,"Sociedad Estatal Correos y Telégrafos, S. A.",Madrid,28042,4,Postal Services,U,38424000.0,862633.92,9.0,ES3
232842,2018180290,ted.europa.eu/udl?uri=TED:NOTICE:180290-2018:TEXT:EN:HTML,"S. E. Correos y Telégrafos, S. A.",Madrid,28042,4,Postal Services,S,60160000.0,9091227.6,60.0,ES3
232843,2018180291,ted.europa.eu/udl?uri=TED:NOTICE:180291-2018:TEXT:EN:HTML,"Enagas, S. A.",Madrid,28005,4,"Production, transport and distribution of gas and heat",S,79994000.0,,36.0,
234571,2018181501,ted.europa.eu/udl?uri=TED:NOTICE:181501-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Arcos de la Frontera,Arcos de la Frontera,11630,3,General public\services,S,50232100.0,367500.0,,ES612
234575,2018181505,ted.europa.eu/udl?uri=TED:NOTICE:181505-2018:TEXT:EN:HTML,Institut de Cultura de Barcelona,Barcelona,08002,3,"Recreation, culture and religion",S,92500000.0,634991.82,,ES
234577,2018181507,ted.europa.eu/udl?uri=TED:NOTICE:181507-2018:TEXT:EN:HTML,Fundación Catedral Santa María,01001 Vitoria-Gasteiz (Araba/Álava),,8,"Recreation, culture and religion",S,63514000.0,943959.6,,ES211
234579,2018181509,ted.europa.eu/udl?uri=TED:NOTICE:181509-2018:TEXT:EN:HTML,Consorcio de Aguas Bilbao Bizkaia,Bilbao,48001,3,Environment,S,72512000.0,3596749.35,,ES213
234580,2018181510,ted.europa.eu/udl?uri=TED:NOTICE:181510-2018:TEXT:EN:HTML,Subdelegación del Gobierno en Málaga,Málaga,29016,1,General public\services,S,90910000.0,383471.08,,ES617
235298,2018182469,ted.europa.eu/udl?uri=TED:NOTICE:182469-2018:TEXT:EN:HTML,"Empresa Municipal de Transportes de Madrid, S. A.",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",S,50760000.0,470208.0,,ES300
236041,2018183407,ted.europa.eu/udl?uri=TED:NOTICE:183407-2018:TEXT:EN:HTML,Mesa del Senado,Madrid,28071,8,General public\services,U,34100000.0,825600.0,,ES300
236774,2018183527,ted.europa.eu/udl?uri=TED:NOTICE:183527-2018:TEXT:EN:HTML,Gerencia del Hospital Intermutual de Levante,San Antonio de Benagéber (Valencia),46184,8,Health,U,9000000.0,1760326.69,,ES523
236787,2018183531,ted.europa.eu/udl?uri=TED:NOTICE:183531-2018:TEXT:EN:HTML,Gerencia Calviá 2000,Santa Ponça (Calviá),07180,8,Economical anf Financial Affairs,U,31680000.0,373012.0,,ES53
237618,2018184232,ted.europa.eu/udl?uri=TED:NOTICE:184232-2018:TEXT:EN:HTML,Ayuntamiento de Marcilla---Ayuntamiento de Marcilla,Marcilla---Marcilla,31340---31340,3,General public\services,S,90600000.0,312000.0,,ES
237628,2018184241,ted.europa.eu/udl?uri=TED:NOTICE:184241-2018:TEXT:EN:HTML,"Ajuntament de Barcelona, Administración Gerència de Presidencia y Economía",Barcelona,08002,3,General public\services,S,72212490.0,5999430.11,,ES511
237633,2018184244,ted.europa.eu/udl?uri=TED:NOTICE:184244-2018:TEXT:EN:HTML,Gerencia del Museo Nacional Centro de Arte Reina Sofía,Madrid,28012,1,Education,S,60000000.0,550000.0,,ES300
237635,2018184246,ted.europa.eu/udl?uri=TED:NOTICE:184246-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Torrejón de Ardoz,Torrejón de Ardoz,28850,3,General public\services,S,51310000.0,479338.84,,ES300
237638,2018184247,ted.europa.eu/udl?uri=TED:NOTICE:184247-2018:TEXT:EN:HTML,Rectorado de la Universidad de Jaén,Jaén,23071,8,Education,S,50312000.0,242000.0,,ES616
237640,2018184249,ted.europa.eu/udl?uri=TED:NOTICE:184249-2018:TEXT:EN:HTML,Ayuntamiento de Basauri,Basauri 48970 (Bizkaia),,3,General public\services,S,79341200.0,418000.0,,ES213
238110,2018184458,ted.europa.eu/udl?uri=TED:NOTICE:184458-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Alzira,Alzira,46600,3,General public\services,S,50118110.0,480000.0,,ES523
238317,2018184475,ted.europa.eu/udl?uri=TED:NOTICE:184475-2018:TEXT:EN:HTML,Ayuntamiento de Basauri,Basauri (Bizkaia),,3,General public\services,S,79341200.0,418000.0,,ES213
238342,2018184487,ted.europa.eu/udl?uri=TED:NOTICE:184487-2018:TEXT:EN:HTML,Universidad Autónoma de Madrid,Madrid,28049,6,Education,S,79521000.0,1581140.36,48.03,ES300
238940,2018185284,ted.europa.eu/udl?uri=TED:NOTICE:185284-2018:TEXT:EN:HTML,"Empresa Municipal de Transportes de Madrid, S. A.",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",U,44210000.0,756000.0,,ES300
238960,2018185350,ted.europa.eu/udl?uri=TED:NOTICE:185350-2018:TEXT:EN:HTML,"Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l&apos;Aigua, S. A.",Barcelona,08028,4,Water,S,90910000.0,973649.34,,ES511
239051,2018185648,ted.europa.eu/udl?uri=TED:NOTICE:185648-2018:TEXT:EN:HTML,Ayuntamiento de Palamós,Palamós,17230,3,General public\services,S,98351000.0,1291644.92,24.0,ES512
239079,2018185828,ted.europa.eu/udl?uri=TED:NOTICE:185828-2018:TEXT:EN:HTML,"S. E Correos y Telégrafos, S. A.",Madrid,28042,4,Postal Services,S,60160000.0,6153966.0,60.0,ES3
239081,2018185830,ted.europa.eu/udl?uri=TED:NOTICE:185830-2018:TEXT:EN:HTML,Ferrocarrils de la Generalitat Valenciana,Valencia,46014,4,"Railway services,Urban railway, tramway, trolleybus or bus services",S,48000000.0,298000.0,12.0,ES523
239371,2018186126,ted.europa.eu/udl?uri=TED:NOTICE:186126-2018:TEXT:EN:HTML,Gobierno Vasco — Agencia Vasca del Agua,Vitoria-Gasteiz,01010,6,Environment,W,71320000.0,6956180.3,,ES21
239442,2018186168,ted.europa.eu/udl?uri=TED:NOTICE:186168-2018:TEXT:EN:HTML,Consorcio de Recursos Sociosanitarios y Asistenciales de las Islas Baleares,Palma,07012,6,Other,W,45215200.0,7655715.82,,ES532
239482,2018186390,ted.europa.eu/udl?uri=TED:NOTICE:186390-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Langreo,Langreo,33900,3,General public\services,U,31500000.0,767743.63,,
240405,2018186544,ted.europa.eu/udl?uri=TED:NOTICE:186544-2018:TEXT:EN:HTML,Feria de Zaragoza,Zaragoza,50012,8,Other,U,39154100.0,1450000.0,24.01,
240581,2018186605,ted.europa.eu/udl?uri=TED:NOTICE:186605-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Santoña,Santoña,39740,3,General public\services,U,31154000.0,726904.38,,
240842,2018186668,ted.europa.eu/udl?uri=TED:NOTICE:186668-2018:TEXT:EN:HTML,Servicio Navarro de Salud — Osasunbidea,Pamplona,31002,R,Health,U,33600000.0,6065289.4,,
240863,2018186681,ted.europa.eu/udl?uri=TED:NOTICE:186681-2018:TEXT:EN:HTML,Feria de Zaragoza,Zaragoza,50012,8,Other,U,39154100.0,270000.0,,
241076,2018187263,ted.europa.eu/udl?uri=TED:NOTICE:187263-2018:TEXT:EN:HTML,Presidencia de la Mancomunidade do Salnés,Cambados,36630,3,General public\services,S,90511300.0,3588559.45,,
241087,2018187270,ted.europa.eu/udl?uri=TED:NOTICE:187270-2018:TEXT:EN:HTML,"Patronat de Turisme Costa Brava Girona, S. A.",Girona,17001,8,Other,S,79822500.0,326160.0,,
241148,2018187287,ted.europa.eu/udl?uri=TED:NOTICE:187287-2018:TEXT:EN:HTML,Consorcio de Aguas Bilbao Bizkaia,Bilbao (Bizkaia),48001,3,General public\services,S,64200000.0,2782058.0,,
241158,2018187295,ted.europa.eu/udl?uri=TED:NOTICE:187295-2018:TEXT:EN:HTML,"Dirección General del Instituto Nacional de Ciberseguridad de España, S. A. (INCIBE)",León,24005,8,General public\services,S,72321000.0,720000.0,,
241161,2018187298,ted.europa.eu/udl?uri=TED:NOTICE:187298-2018:TEXT:EN:HTML,Subdirección General de Gestión Económica y Patrimonial,Madrid,28010,1,Public Order and Safety,S,79414000.0,160000.0,,
241170,2018187304,ted.europa.eu/udl?uri=TED:NOTICE:187304-2018:TEXT:EN:HTML,"Consejería Delegada de Getafe Iniciativas, S. A.",Getafe,28901,8,Social protection,S,72510000.0,707812.4,,
241172,2018187306,ted.europa.eu/udl?uri=TED:NOTICE:187306-2018:TEXT:EN:HTML,Dirección General del Instituto para la Diversificación y Ahorro de la Energía (IDAE),Madrid,28004,1,General public\services,S,79000000.0,1860000.0,,
241174,2018187307,ted.europa.eu/udl?uri=TED:NOTICE:187307-2018:TEXT:EN:HTML,"Dirección General del Instituto Nacional de Ciberseguridad de España, S. A. (INCIBE)",León,24005,8,General public\services,S,72000000.0,809280.0,,
241395,2018187355,ted.europa.eu/udl?uri=TED:NOTICE:187355-2018:TEXT:EN:HTML,Servicio Navarro de Empleo — Nafar Lansare,Pamplona,31005,6,Other,S,79634000.0,5952129.73,3.98,
241475,2018187379,ted.europa.eu/udl?uri=TED:NOTICE:187379-2018:TEXT:EN:HTML,Fundación Centro Nacional de Investigaciones Cardiovasculares Carlos III,Madrid,28029,6,General public\services,S,73110000.0,290000.0,,
241623,2018187437,ted.europa.eu/udl?uri=TED:NOTICE:187437-2018:TEXT:EN:HTML,"Red de Villas Turísticas de Andalucía, S. A.",Málaga,29008,8,Other,S,98310000.0,526978.72,,
241775,2018187511,ted.europa.eu/udl?uri=TED:NOTICE:187511-2018:TEXT:EN:HTML,Presidencia de la Confederación Hidrográfica del Segura,Murcia,30001,1,Environment,S,64210000.0,350000.0,,
241799,2018187524,ted.europa.eu/udl?uri=TED:NOTICE:187524-2018:TEXT:EN:HTML,DFA – Departamento de Agricultura,Vitoria-Gasteiz,,R,General public\services,S,50230000.0,371900.83,,
241862,2018187550,ted.europa.eu/udl?uri=TED:NOTICE:187550-2018:TEXT:EN:HTML,Ayuntamiento de Basauri,Basauri (Bizkaia),,3,General public\services,S,80210000.0,2651906.64,,
241933,2018187590,ted.europa.eu/udl?uri=TED:NOTICE:187590-2018:TEXT:EN:HTML,Gerencia de Atención Integrada de Ciudad Real,Ciudad Real,13005,3,Health,S,79560000.0,458677.68,,
241943,2018187598,ted.europa.eu/udl?uri=TED:NOTICE:187598-2018:TEXT:EN:HTML,"Fábrica Nacional de Moneda y Timbre, Real Casa de la Moneda",Madrid,28071,6,Economical anf Financial Affairs,S,50000000.0,555000.0,,
241964,2018187610,ted.europa.eu/udl?uri=TED:NOTICE:187610-2018:TEXT:EN:HTML,"Trabajos Catastrales, S. A. U.",Sarriguren,31621,6,Other,S,71354300.0,2800000.0,,
241965,2018187611,ted.europa.eu/udl?uri=TED:NOTICE:187611-2018:TEXT:EN:HTML,"Ayuntamiento de Barcelona, Districte de Nou Barris",Barcelona,08042,R,General public\services,S,98000000.0,1436363.64,,
242035,2018187635,ted.europa.eu/udl?uri=TED:NOTICE:187635-2018:TEXT:EN:HTML,Instituto Catalán de la Salud,Tarragona,43005,6,Health,S,50750000.0,214749.58,,
242052,2018187648,ted.europa.eu/udl?uri=TED:NOTICE:187648-2018:TEXT:EN:HTML,Ejie — Sociedad Informática del Gobierno Vasco,Vitoria-Gasteiz,,8,Other,S,72200000.0,1060732.52,,
242057,2018187652,ted.europa.eu/udl?uri=TED:NOTICE:187652-2018:TEXT:EN:HTML,"Dirección Gerencia de Unión de Mutuas, Mutua Colaboradora con la Seguridad Social número 267",Castellón,12004,8,General public\services,S,66516000.0,520000.0,,
242075,2018187663,ted.europa.eu/udl?uri=TED:NOTICE:187663-2018:TEXT:EN:HTML,Ayuntamiento de Oñati,Oñati (Gipuzkoa),20560,3,General public\services,S,71000000.0,350000.0,,
242161,2018188258,ted.europa.eu/udl?uri=TED:NOTICE:188258-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Torrejón de Ardoz,Torrejón de Ardoz,28850,3,General public\services,S,92360000.0,500000.0,,
242224,2018188296,ted.europa.eu/udl?uri=TED:NOTICE:188296-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Cangas del Narcea,Cangas del Narcea,33800,3,General public\services,S,85310000.0,882895.0,,
242312,2018188472,ted.europa.eu/udl?uri=TED:NOTICE:188472-2018:TEXT:EN:HTML,"Empresa Municipal de Transportes de Madrid, S. A.",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",S,72000000.0,493056.0,18.09,
242394,2018188669,ted.europa.eu/udl?uri=TED:NOTICE:188669-2018:TEXT:EN:HTML,Ayuntamiento de Galapagar,Galapagar,28260,3,General public\services,U,37535000.0,247933.88,3.0,
242396,2018188670,ted.europa.eu/udl?uri=TED:NOTICE:188670-2018:TEXT:EN:HTML,"Autobusos de Lleida, S. A.",Sant Cugat del Vallés,08174,8,Other,U,34120000.0,,,
242401,2018188675,ted.europa.eu/udl?uri=TED:NOTICE:188675-2018:TEXT:EN:HTML,Residencia Municipal de Getxo,Getxo,48992,R,Other,U,15000000.0,490362.9,12.0,
242404,2018188678,ted.europa.eu/udl?uri=TED:NOTICE:188678-2018:TEXT:EN:HTML,"Gobierno de Navarra, Dirección General de Informática, Telecomunicaciones e Innovación Pública",Sarriguren (Navarra),31621,3,General public\services,U,30200000.0,495867.77,0.99,
242423,2018188784,ted.europa.eu/udl?uri=TED:NOTICE:188784-2018:TEXT:EN:HTML,Instituto Catalán de Finanzas,Barcelona,08010,6,Economical anf Financial Affairs,S,72212442.0,4250000.0,24.0,
242427,2018188788,ted.europa.eu/udl?uri=TED:NOTICE:188788-2018:TEXT:EN:HTML,"Corporació Catalana de Mitjans Audiovisuals, S. A.",Barcelona,08017,6,Other,S,60100000.0,625000.0,24.0,
242428,2018188789,ted.europa.eu/udl?uri=TED:NOTICE:188789-2018:TEXT:EN:HTML,"Ayuntamiento de Sevilla, Área de Bienestar Social y Empleo, Servicio de Administración de los Servicios Sociales",Sevilla,41009,3,Other,S,85320000.0,5593426.55,,
242430,2018188791,ted.europa.eu/udl?uri=TED:NOTICE:188791-2018:TEXT:EN:HTML,"Ayuntamiento de Sevilla, Área de Bienestar Social y Empleo, Servicio de Administración de los Servicios Sociales",Sevilla,41009,3,Other,S,85320000.0,,,
242436,2018188796,ted.europa.eu/udl?uri=TED:NOTICE:188796-2018:TEXT:EN:HTML,Ayuntamiento del Valle de Aranguren,Mutilva,31192,3,General public\services,S,92620000.0,613150.2,12.0,
242439,2018188799,ted.europa.eu/udl?uri=TED:NOTICE:188799-2018:TEXT:EN:HTML,Parlamento de Andalucía,Sevilla,41009,8,Other,S,64200000.0,1146477.2,24.0,
242446,2018188806,ted.europa.eu/udl?uri=TED:NOTICE:188806-2018:TEXT:EN:HTML,Instituto Navarro de Deporte y Juventud,Pamplona,31002,3,"General public\services,Other",S,90911200.0,,,
242447,2018188807,ted.europa.eu/udl?uri=TED:NOTICE:188807-2018:TEXT:EN:HTML,Consorci de Serveis Universitaris de Catalunya (CSUC),Barcelona,08034,6,Other,S,64200000.0,1059167.25,,
