,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
37495,201828611,ted.europa.eu/udl?uri=TED:NOTICE:28611-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia. Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72200000.0,3024793.38,,ES11
37509,201828619,ted.europa.eu/udl?uri=TED:NOTICE:28619-2018:TEXT:EN:HTML,Ayuntamiento de Madrid. Área de Gobierno de Medio Ambiente y Movilidad,Madrid,28014,3,Environment,S,77311000.0,865014.7,,ES300
37515,201828621,ted.europa.eu/udl?uri=TED:NOTICE:28621-2018:TEXT:EN:HTML,Rectorado de la Universidad de Salamanca,Salamanca,37008,8,Education,S,60000000.0,975000.0,16.94,ES415
37516,201828622,ted.europa.eu/udl?uri=TED:NOTICE:28622-2018:TEXT:EN:HTML,Instituto Andaluz de la Mujer,Sevilla,41003,R,General public\services,S,98390000.0,1536208.8,,ES
37523,201828626,ted.europa.eu/udl?uri=TED:NOTICE:28626-2018:TEXT:EN:HTML,"Comunidad de Madrid. Consejería de Transportes, Vivienda e Infraestructuras",Madrid,28003,3,General public\services,S,71311100.0,3139778.88,,ES30
37528,201828631,ted.europa.eu/udl?uri=TED:NOTICE:28631-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08018,3,General public\services,S,71356200.0,1324562.75,,ES511
37529,201828632,ted.europa.eu/udl?uri=TED:NOTICE:28632-2018:TEXT:EN:HTML,Consejería de Hacienda y Administración Pública,Sevilla,41071,3,Economical anf Financial Affairs,S,72212517.0,1041898.78,,ES618
37532,201828633,ted.europa.eu/udl?uri=TED:NOTICE:28633-2018:TEXT:EN:HTML,Ayuntamiento de Donostia/San Sebastián — Ayuntamiento de Donostia/San Sebastián,Donostia/San Sebastián,20003,3,General public\services,S,71631000.0,624793.39,,ES212
37533,201828634,ted.europa.eu/udl?uri=TED:NOTICE:28634-2018:TEXT:EN:HTML,"Alta Dirección de Activa Mutua 2008, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social",Reus,43204,8,General public\services,S,72200000.0,644455.68,,ES514
37534,201828635,ted.europa.eu/udl?uri=TED:NOTICE:28635-2018:TEXT:EN:HTML,"Comunidad de Madrid. Consejería de Medio Ambiente, Administración Local y Ordenación del Territorio",Madrid,28014,3,Environment,S,92533000.0,932992.72,,ES3
37535,201828636,ted.europa.eu/udl?uri=TED:NOTICE:28636-2018:TEXT:EN:HTML,Concejalía Delegada del Área de Medio Ambiente y Sostenibilidad del Ayuntamiento de Valladolid,Valladolid,47001,3,Environment,S,77311000.0,725987.52,,ES418
37539,201828637,ted.europa.eu/udl?uri=TED:NOTICE:28637-2018:TEXT:EN:HTML,Consejo Catalán del Deporte,Esplugues de Llobregat,08950,1,General public\services,S,50800000.0,727440.0,21.02,ES511
