,Unnamed: 0,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
10176,633739,2018465293,ted.europa.eu/udl?uri=TED:NOTICE:465293-2018:TEXT:EN:HTML,Distrito Centro,Madrid,28013,3,General public\services,S,98341130.0,775585.7,,ES300
10177,633741,2018465294,ted.europa.eu/udl?uri=TED:NOTICE:465294-2018:TEXT:EN:HTML,Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana,Valencia,46010,6,Environment,S,90481000.0,14937644.58,,ES523
10179,633744,2018465297,ted.europa.eu/udl?uri=TED:NOTICE:465297-2018:TEXT:EN:HTML,Ayuntamiento de Alcorcón,Alcorcón,28921,3,General public\services,S,66511000.0,347600.0,,ES300
10180,633745,2018465298,ted.europa.eu/udl?uri=TED:NOTICE:465298-2018:TEXT:EN:HTML,Diputación de Barcelona,Barcelona,08036,3,General public\services,S,90511000.0,356289.82,,ES511
10181,633746,2018465299,ted.europa.eu/udl?uri=TED:NOTICE:465299-2018:TEXT:EN:HTML,Ayuntamiento de Palafrugell,Palafrugell,17200,R,General public\services,S,60130000.0,481199.93,,ES512
10182,633767,2018465314,ted.europa.eu/udl?uri=TED:NOTICE:465314-2018:TEXT:EN:HTML,Ajuntament d&apos;Igualada,Igualada,08700,R,General public\services,S,77311000.0,415800.0,,ES511
10184,634150,2018465465,ted.europa.eu/udl?uri=TED:NOTICE:465465-2018:TEXT:EN:HTML,Presidencia del Consejo Superior de Deportes,Madrid,28040,1,"Recreation, culture and religion",S,77310000.0,1080000.0,,ES300
10185,634158,2018465471,ted.europa.eu/udl?uri=TED:NOTICE:465471-2018:TEXT:EN:HTML,Banc de Sang i Teixits,Barcelona,08005,6,Health,S,72514300.0,619834.0,,ES511
10186,634173,2018465476,ted.europa.eu/udl?uri=TED:NOTICE:465476-2018:TEXT:EN:HTML,"Dirección General del INTA, M. P.",Torrejón de Ardoz (Madrid),28850,1,Defence,S,50800000.0,630194.22,,ES300
10187,634186,2018465480,ted.europa.eu/udl?uri=TED:NOTICE:465480-2018:TEXT:EN:HTML,Hospital Clínic de Barcelona,Barcelona,08036,6,Health,S,79710000.0,6194816.47,,ES511
10188,634187,2018465481,ted.europa.eu/udl?uri=TED:NOTICE:465481-2018:TEXT:EN:HTML,Consejería de Administración Pública y Hacienda,Logroño,26071,3,General public\services,S,79710000.0,8800798.77,,ES230
10189,634192,2018465483,ted.europa.eu/udl?uri=TED:NOTICE:465483-2018:TEXT:EN:HTML,Consejería de Administración Pública y Hacienda,Logroño,26071,3,General public\services,S,90911200.0,716027.54,,ES230
10190,634363,2018465564,ted.europa.eu/udl?uri=TED:NOTICE:465564-2018:TEXT:EN:HTML,Ayuntamiento de Amurrio,Amurrio,01470,3,General public\services,S,92610000.0,12973577.0,,ES211
10191,634364,2018465565,ted.europa.eu/udl?uri=TED:NOTICE:465565-2018:TEXT:EN:HTML,Ayuntamiento de Usurbil,Usurbil (Gipuzkoa),20170,3,General public\services,S,60140000.0,356216.4,,ES212
10192,634368,2018465569,ted.europa.eu/udl?uri=TED:NOTICE:465569-2018:TEXT:EN:HTML,Consejería de Educación e Investigación,Madrid,28014,3,General public\services,S,50721000.0,277447.58,,ES300
